n_no kokgi_v 閩南語詞目
227 妻子外公 丈人公
227 妻子爺爺 丈人公
228 皮條客 三七仔
229 岳丈 丈人爸
229 岳父 丈人爸
230 八珍 三八氣
230 三八 三八氣
230 不正經 三八氣
230 傻氣 三八氣
231 妻子外婆 丈人媽
231 妻子奶奶 丈人媽
232 最久 上久
233 上山 上山
233 爬山 上山
233 登山 上山
234 下山 下山
235 久久 久久
236 用力 大下
237 胃口小 小口
238 小工 小工
238 零工 小工
239 才子 才子
240 大丈夫 大丈夫
240 好漢 大丈夫
240 男子漢 大丈夫
241 不巧 干干仔
241 只有 干干仔
241 故意 干干仔
241 偏偏 干干仔
241 僅僅 干干仔
242 三山國王 三山國王
243 千千萬萬 千千萬萬
243 成千上萬 千千萬萬
244 送葬 上山頭
245 姑公 丈公
245 姑婆先生 丈公
245 姨公 丈公
245 姨婆先生 丈公
246 上元 上元
246 上元節 上元
246 元宵 上元
246 元宵節 上元
247 下元 下元
247 下元節 下元
248 小輩 下勻
248 後輩 下勻
248 晚輩 下勻
249 大不了 大不了
249 充其量 大不了
249 至多 大不了
249 頂多 大不了
249 最多 大不了
250 不定時 三不五時
250 有時候 三不五時
251 耿直 土公仔
251 粗魯 土公仔
251 喪葬工 土公仔
252 小丑 小丑仔
253 粗魯 土公仔性
254 上元 上元暝
254 上元節 上元暝
254 元宵 上元暝
254 元宵節 上元暝
255 上午 上午
255 早上 上午
255 早晨 上午
256 上天 上天
256 上蒼 上天
256 天老爺 上天
256 老天爺 上天
257 上手 上手
257 到手 上手
257 得逞 上手
258 水腫 上水
258 取水 上水
259 下午 下午
260 下手 下手
260 出手 下手
260 動手 下手
260 著手 下手
261 手下 下手
262 下水 下水
262 內臟 下水
262 汙水 下水
263 土木 土木
264 大方 大方
264 架子 大方
264 架勢 大方
264 派頭 大方
264 氣派 大方
265 吉日 大日
265 烈日 大日
266 大月 大月
266 旺季 大月
267 大小 寸尺
267 尺寸 寸尺
268 小心 小心
268 注意 小心
268 客氣 小心
268 留意 小心
268 商量 小心
268 謹慎 小心
269 小月 小月
270 傢俱木工 小木
271 工夫 工夫
272 三太子 三太子
272 哪吒 三太子
