228,三七仔,皮條客,名,皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。
229,丈人爸,岳丈,名,岳父。稱謂，男性稱呼妻子的父親。
230,三八氣,八珍,無,傻氣。見【三八】sam-pat 條。
231,丈人媽,妻子外婆,名,稱謂。男性稱呼妻子的奶奶或外婆。
232,上久,最久,副,最久。
233,上山,上山,動,登山、爬山。
234,下山,下山,動,常用在戲曲的對白，指修行人要離開修行的地點。
235,久久,久久,副,經過一段相當長久的時間。
236,大下,用力,形,指很用力。
237,小口,胃口小,形,飯量少、食量小。
238,小工,小工,名,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。
239,才子,才子,名,有卓越文才或學問能力的男子。
240,大丈夫,大丈夫,名,有志氣而且勇敢剛毅的男子。
241,干干仔,不巧,副,偏偏。
242,三山國王,三山國王,名,廣東省潮州的明山、獨山及中山三座山的山神總稱。後來人民遷徙臺灣，在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。
243,千千萬萬,千千萬萬,形,成千上萬，形容數量很多。
244,上山頭,送葬,動,送葬到墓地，護送棺木到墓地。
245,丈公,姑公,名,姑公、姨公。稱謂。稱呼姑婆或姨婆的先生。
246,上元,上元,無,元宵節。見【元宵】Guân-siau 條。
247,下元,下元,名,下元節。傳統民俗節日之一。農曆十月十五日為三官大帝的誕辰，通常在十月十四日晚間十一點開始祭拜，主要供品為甜湯圓、「麻粩」(muâ-láu)、「米粩」(bí-láu)。
248,下勻,小輩,名,後輩、晚輩。
249,大不了,大不了,副,頂多、充其量。至多也不過如此。
250,三不五時,不定時,熟,不定時、頻率不固定的時間。
251,土公仔,耿直,名,處理喪葬墓穴的工人。
252,小丑仔,小丑,名,戲劇或馬戲團中表演滑稽逗趣腳色的人。
253,土公仔性,粗魯,形,形容人的個性粗魯，就像墓穴工一樣。
254,上元暝,上元,無,元宵節。見【元宵】Guân-siau 條。
255,上午,上午,時,中午之前。
256,上天,上天,名,上蒼。對具有無窮力量的天或是天上神明的總稱。
257,上手,上手,副,對技術或工作已掌握熟練，駕馭自如。
258,上水,水腫,動,從水井裡取水上來。
259,下午,下午,時,中午過後的時間，指中午十二點到黃昏前的一段時間。
260,下手,下手,動,動手去做。
262,下水,下水,名,內臟。雞、鴨等禽類動物的內臟。
263,土木,土木,名,指道路、橋樑或建築物的興建、改建、維護等工作。
264,大方,大方,形,慷慨不小氣。
265,大日,吉日,名,吉日。指適合婚喪嫁娶的好日子。
266,大月,大月,名,國曆三十一天或者農曆三十天的月分。
267,寸尺,大小,名,尺寸、法度。
268,小心,小心,形,注意、留意。
269,小月,小月,名,農曆之中，只有二十九天的月份。
270,小木,傢俱木工,名,做傢俱的木工。相反的，「大木」(tuā-ba̍k)是建築房屋的木工。
271,工夫,工夫,名,中國功夫。即特殊武術、工技。
272,三太子,三太子,名,即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。
273,上尺工,工尺譜,名,標示在工尺譜上的音階名。「上」表示首調唱名法中的Do，「尺」表示首調唱名法中的Re，「工」表示首調唱名法中的Mi。
274,三心兩意,三心二意,熟,形容猶豫不決，意志不堅。
275,大心氣,大口喘氣,動,呼吸急促，喘不過氣來。
276,千斤秤,千斤頂,名,千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。
277,三文魚,鮭魚,名,指鮭魚。過去常用來製成罐頭。源自英語salmon。
278,下水湯,下水湯,名,用雞、鴨等禽類動物的內臟及佐料所做成的湯品。
279,大爿,主位,名,東西切割或對分之後，占多數或較大的一方。
280,丸仔,丸,名,丸子。團狀、丸狀的東西或食品。
